"ID";"a1.trabajo";"a2.contrato";"a3.empleador";"a4.areatrabajo";"a5.precovid";"a6.motivo";"a7.busca";"a8.modalidad";"a9.carga";"a10.situacion";"a11.desempeño";"b1.estudio";"b2.material";"b2.dejar";"b2.adapta";"b2.internet";"b2.institucion";"b2.profes";"b2.compu";"c1.barrer";"c1.basura";"c1.cocinar";"c1.adultos";"c1.mascotas";"c1.niñxs";"c1.loza";"c1.ropa";"c1.baños";"c1.ordenar";"c1.compras";"c2.internet";"c2.patio";"c2.nhabs";"c2.equipos";"c2.thabs";"c2.ubicacion";"c3.npersonas";"c4.habitantes";"c4.abuelxs";"c4.amigxs";"c4.arrendatarixs";"c4.pareja";"c4.hermanxs";"c4.padres";"c4.hijxs";"c4.otrxs";"c5.aumento";"c5.mujeres";"c5.gusta";"c5.apoyo";"c5.tiempo";"c5.unicx";"c6.nhijxs";"c7.recreacion";"c7.union";"c7.tiempo";"c7.comunicacion";"c7.confianza";"c7.preocupacion";"c7.conflictos";"d1.angustia";"d1.ansiedad";"d1.estres";"d1.frustracion";"d1.incertidumbre";"d1.enojo";"d1.miedo";"d1.soledad";"d1.tristeza";"d2.atencion";"d3.farmacos";"d4.tratamiento";"e1.pareja";"e2.cambio";"e3.enojos";"e3.lesionarme";"e3.golpes";"e3.gritos";"e3.terceros";"e3.humilla";"e3.insulta";"e3.respeto";"e3.peligro";"e4.conversa";"e5.denuncia1";"e6.institucion";"e6.carchi";"e7.violencia";"e8.denuncia2";"f1.moviliza";"f1.gobierno";"f1.justicia";"f1.ddhh";"f1.migra";"f1.policias";"f1.apoyos";"f1.expulsion";"f1.pensiones";"f1.apruebo";"sexo";"edad";"comunares";"paisnac";"regionnac";"estudios";"ingresos";"cambioingreso";"bonos";"bonos.caja";"bonos.ife";"bonos.minimo";"bonos.covid";"bonos.media";"bonos.none";"salir"
"140";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"1-2 horas";"0 horas";"3-5 horas";"0 horas";"1-2 horas";"0 horas";"1-2 horas";"0 horas";"1-2 horas";"1-2 horas";"0 horas";"Regular";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"4";"Hijo(s) y/o hija(s);Hermano(s) y/o hermana(s);Cuñado";0;0;0;0;1;0;1;1;"De acuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"0";"Aumentó";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"A veces";"A veces";"Frecuentemente";"A veces";"A veces";"A veces";"A veces";"Casi nunca";"Casi nunca";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"No he estado en una relación de pareja durante los últimos tres meses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Sí";"No";"De acuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"Absolutamente de acuerdo";"Hombre";21;"Alto Hospicio";"Chile";"Tarapaca";"Universitaria incompleta";"No tuve ingresos";"Se han mantenido igual";"Caja familiar (mercadería)";1;0;0;0;0;0;0
"141";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Trabajo dependiente";"Despido";"No";NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"En desacuerdo";"De acuerdo";"3-5 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"1-2 horas";"0 horas";"0 horas";"11-20 horas";"1-2 horas";"Bueno";"Bueno";"Excelente";"Excelente";"Bueno";"Bueno";"4";"Hermano(s) y/o hermana(s);Padre y/o madre";0;0;0;0;1;1;0;0;"De acuerdo";"Muy en desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"Muy en desacuerdo";"0";"Se mantuvo igual";"Disminuyó";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Aumentó";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Casi nunca";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"En desacuerdo";"En desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";25;"Alto Hospicio";"Chile";"Tarapaca";"Universitaria incompleta";"$450.000 - $750.000";"Han disminuido fuertemente";"Caja familiar (mercadería)";1;0;0;0;0;0;5
"142";"Trabajo independiente o por cuenta propia";"Contrato a honorarios";"Estatal";NA;"Trabajo independiente o por cuenta propia";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Ha aumentado levemente";"Buena";"En desacuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"3-5 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"0 horas";"3-5 horas";"3-5 horas";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"Bueno";"3";"Hijo(s) y/o hija(s);Abuelo(s) y/o abuela(s)";1;0;0;0;0;0;1;0;"De acuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"0";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Aumentó";"Aumentó";"Se mantuvo igual";"Disminuyó";"Casi nunca";"Casi nunca";"A veces";"Casi nunca";"A veces";"Nunca";"Nunca";"Nunca";"Nunca";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Ha mejorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"Sí";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"Absolutamente de acuerdo";"De acuerdo";"Absolutamente de acuerdo";"Hombre";35;"Iquique";"Chile";"Metropolitana";"Universitaria completa";"Más de $1.500.000";"Se han mantenido igual";NA;0;0;0;0;0;1;2
"143";"Trabajo independiente o por cuenta propia";"Contrato a honorarios";"Estatal";NA;"Trabajo independiente o por cuenta propia";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Ha aumentado levemente";"Buena";"En desacuerdo";"Educación universitaria";"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"1-2 horas";"0 horas";"1-2 horas";"1-2 horas";"0 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"6-10 horas";"Excelente";"Excelente";"Bueno";"Excelente";"Bueno";"Excelente";"4";"Cónyuge, pareja o conviviente;Padre y/o madre;Abuelo(s) y/o abuela(s)";1;0;0;1;0;1;0;0;"De acuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"0";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Casi nunca";"A veces";"Casi nunca";"Casi nunca";"Casi nunca";"Casi nunca";"Casi nunca";"Casi nunca";"Casi nunca";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Ha mejorado mucho";"Nunca";"Nunca";"Nunca";"Casi nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"Sí";"No";NA;0;"Sí";"Sí";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Hombre";32;"Iquique";"Chile";"Tarapaca";"Universitaria incompleta";"$150.000 - $300.000";"Se han mantenido igual";"Caja familiar (mercadería)";1;0;0;0;0;0;2
"144";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Trabajo dependiente";"Despido";"No";NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"De acuerdo";"0 horas";"0 horas";"1-2 horas";"0 horas";"0 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"3-5 horas";"Regular";"Excelente";"Excelente";"Excelente";"Excelente";"Excelente";"2";"Padre y/o madre";0;0;0;0;0;1;0;0;"De acuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"0";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Disminuyó";"A veces";"A veces";"Frecuentemente";"A veces";"A veces";"Frecuentemente";"Frecuentemente";"Casi nunca";"Frecuentemente";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"No he estado en una relación de pareja durante los últimos tres meses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"De acuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"De acuerdo";"Muy de acuerdo";"Mujer";24;"Iquique";"Chile";"Tarapaca";"Universitaria completa";"No tuve ingresos";"Han disminuido levemente";NA;0;0;0;0;0;1;2
"145";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"6-10 horas";"3-5 horas";"11-20 horas";"6-10 horas";"6-10 horas";"11-20 horas";"11-20 horas";"6-10 horas";"6-10 horas";"11-20 horas";"3-5 horas";"Malo";"Regular";"Regular";"Regular";"Regular";"Regular";"4";"Hijo(s) y/o hija(s);Padre y/o madre;Abuelo(s) y/o abuela(s)";1;0;0;0;0;1;1;0;"Muy de acuerdo";"Muy en desacuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"1";"Disminuyó";"Se mantuvo igual";"Disminuyó";"Disminuyó";"Se mantuvo igual";"Aumentó";"Aumentó";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Frecuentemente";"A veces";"Frecuentemente";"A veces";"A veces";"Frecuentemente";"Sí";"No";"No estaba en ningún tratamiento antes de la pandemia";"Otra relación afectiva";"Ha empeorado levemente";"Nunca";"Nunca";"Nunca";"Casi nunca";"Nunca";"Nunca";"A veces";"A veces";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";25;"Alto Hospicio";"Chile";"Tarapaca";"Media completa";"$150.000 - $300.000";"Han disminuido fuertemente";"Bono Covid-19";0;0;0;1;0;0;3
"146";"Trabajo dependiente";"Planta o Contrata (estatuto administrativo)";"Estatal";NA;"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente con teletrabajo";"Ha aumentado considerablemente";"Buena";"De acuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"3-5 horas";"0 horas";"0 horas";"0 horas";"3-5 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"Regular";"Malo";"Regular";"Regular";"Bueno";"Malo";"3";"Cónyuge, pareja o conviviente;Hermano(s) y/o hermana(s)";0;0;0;1;1;0;0;0;"De acuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"En desacuerdo";"0";"Disminuyó";"Aumentó";"Disminuyó";"Aumentó";"Se mantuvo igual";"Disminuyó";"Se mantuvo igual";"Frecuentemente";"Frecuentemente";"Frecuentemente";"A veces";"Frecuentemente";"Casi nunca";"Frecuentemente";"A veces";"A veces";"Sí";"Sí";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Ha mejorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"No";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";28;"Iquique";"Chile";"Antofagasta";"Universitaria completa";"$750.000 - $1.500.000";"Han aumentado fuertemente";NA;0;0;0;0;0;1;2
"147";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"Trabajo independiente o por cuenta propia";"No estaba trabajando";"Si";NA;NA;NA;NA;"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"3-5 horas";"0 horas";"1-2 horas";"0 horas";"3-5 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"Bueno";"Bueno";"Excelente";"Bueno";"Bueno";"Bueno";"1";"Amigo(s) y/o amiga(s)";0;1;0;0;0;0;0;0;"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"En desacuerdo";"1";"Disminuyó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"Aumentó";"A veces";"Frecuentemente";"Frecuentemente";"A veces";"Frecuentemente";"A veces";"A veces";"Casi nunca";"A veces";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"Otra relación afectiva";"Ha mejorado levemente";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Frecuentemente";"Nunca";"No";"No";NA;0;"Sí";"No";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Mujer";53;"Iquique";"Chile";"Maule";"Postgrado";"Menos de $150.000";"Han disminuido fuertemente";"Ingreso familiar de emergencia";0;1;0;0;0;0;4
"148";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"Muy de acuerdo";"1-2 horas";"1-2 horas";"0 horas";"0 horas";"0 horas";"0 horas";"1-2 horas";"0 horas";"0 horas";"1-2 horas";"0 horas";"Bueno";"Bueno";"Excelente";"Excelente";"Excelente";"Bueno";"2";"Padre y/o madre";0;0;0;0;0;1;0;0;"En desacuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"0";"Se mantuvo igual";"Disminuyó";"Se mantuvo igual";"Disminuyó";"Disminuyó";"Aumentó";"Aumentó";"Frecuentemente";"Siempre";"Siempre";"Siempre";"Frecuentemente";"Siempre";"Frecuentemente";"Siempre";"Siempre";"Sí";"Sí";"Si, pero con algunas dificultades";"No he estado en una relación de pareja durante los últimos tres meses";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Sí";"No";"Absolutamente de acuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Absolutamente de acuerdo";"Hombre";21;"Iquique";"Chile";"Tarapaca";"Universitaria incompleta";"No tuve ingresos";"Se han mantenido igual";NA;0;0;0;0;0;1;2
"149";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"Muy de acuerdo";"De acuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"Muy de acuerdo";"1-2 horas";"1-2 horas";"0 horas";"0 horas";"6-10 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"0 horas";"Regular";"Malo";"Regular";"Excelente";"Regular";"Regular";"3";"Hijo(s) y/o hija(s)";0;0;0;0;0;0;1;0;"En desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"De acuerdo";"Muy en desacuerdo";"Muy en desacuerdo";"0";"Aumentó";"Aumentó";"Disminuyó";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Aumentó";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Sí";"No";"Si, con total normalidad";"Pololeo o noviazgo";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"Sí";"No";NA;0;"Sí";"No";"De acuerdo";"En desacuerdo";"Absolutamente en desacuerdo";"En desacuerdo";"Absolutamente de acuerdo";"En desacuerdo";"Muy en desacuerdo";"De acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";21;"Iquique";"Chile";"Tarapaca";"Universitaria incompleta";"No tuve ingresos";"Se han mantenido igual";NA;0;0;0;0;0;1;0
"150";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"Muy de acuerdo";"3-5 horas";"0 horas";"0 horas";"0 horas";"0 horas";"0 horas";"1-2 horas";"0 horas";"0 horas";"3-5 horas";"3-5 horas";"Excelente";"Excelente";"Bueno";"Excelente";"Bueno";"Excelente";"3";"Hermano(s) y/o hermana(s);Padre y/o madre";0;0;0;0;1;1;0;0;"En desacuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"Muy en desacuerdo";"0";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Se mantuvo igual";"Disminuyó";"Se mantuvo igual";"Frecuentemente";"Frecuentemente";"Siempre";"Frecuentemente";"Frecuentemente";"Frecuentemente";"Casi nunca";"A veces";"Frecuentemente";"Sí";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Ha mejorado levemente";"Nunca";"Nunca";"Nunca";"Casi nunca";"Nunca";"Nunca";"Casi nunca";"Casi siempre";"Nunca";"Sí";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"En desacuerdo";"Muy en desacuerdo";"Absolutamente de acuerdo";"En desacuerdo";"Absolutamente de acuerdo";"Hombre";21;"Iquique";"Chile";"Tarapaca";"Universitaria incompleta";"No tuve ingresos";"Se han mantenido igual";NA;0;0;0;0;0;1;1
"151";"Trabajo dependiente";"Contrato a honorarios";"Privada";"Servicios";"Trabajo dependiente";"No he perdido mi fuente laboral";NA;"Completamente presencial";"Ha disminuido levemente";"Buena";"En desacuerdo";"Actualmente no me encuentro estudiando";NA;NA;NA;NA;NA;NA;NA;"1-2 horas";"1-2 horas";"6-10 horas";"0 horas";"3-5 horas";"0 horas";"3-5 horas";"3-5 horas";"1-2 horas";"3-5 horas";"3-5 horas";"Excelente";"Bueno";"Regular";"Bueno";"Regular";"Bueno";"1";"Cónyuge, pareja o conviviente";0;0;0;1;0;0;0;0;"En desacuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"En desacuerdo";"Muy en desacuerdo";"0";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"Casi nunca";"A veces";"Casi nunca";"Casi nunca";"A veces";"Casi nunca";"Casi nunca";"Nunca";"Nunca";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Casi siempre";"Nunca";"No";"No";NA;0;"No";NA;"Muy de acuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Muy en desacuerdo";"Muy de acuerdo";"Muy en desacuerdo";"Absolutamente en desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Absolutamente de acuerdo";"Hombre";34;"Iquique";"Chile";"Tarapaca";"Postgrado";"$300.000 - $450.000";"Han disminuido levemente";NA;0;0;0;0;0;1;4
"152";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"De acuerdo";"Muy en desacuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"De acuerdo";"De acuerdo";"6-10 horas";"1-2 horas";"11-20 horas";"0 horas";"21 o más horas";"21 o más horas";"6-10 horas";"3-5 horas";"1-2 horas";"6-10 horas";"0 horas";"Bueno";"Excelente";"Excelente";"Excelente";"Excelente";"Excelente";"2";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s)";0;0;0;1;0;0;1;0;"Muy de acuerdo";"Muy en desacuerdo";"En desacuerdo";"De acuerdo";"Muy de acuerdo";"De acuerdo";"1";"Disminuyó";"Se mantuvo igual";"Disminuyó";"Se mantuvo igual";"Se mantuvo igual";"Aumentó";"Se mantuvo igual";"A veces";"Frecuentemente";"Frecuentemente";"Frecuentemente";"A veces";"A veces";"Casi nunca";"A veces";"Frecuentemente";"Tal vez";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"Sí";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Muy en desacuerdo";"En desacuerdo";"Muy de acuerdo";"De acuerdo";"Absolutamente de acuerdo";"Mujer";36;"Alto Hospicio";"Chile";"Tarapaca";"Universitaria incompleta";"No tuve ingresos";"Se han mantenido igual";"Ingreso familiar de emergencia;Bono Covid-19;Caja familiar (mercadería)";1;1;0;1;0;0;2
"153";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"De acuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"3-5 horas";"3-5 horas";"1-2 horas";"0 horas";"6-10 horas";"21 o más horas";"1-2 horas";"1-2 horas";"3-5 horas";"3-5 horas";"0 horas";"Bueno";"Malo";"Regular";"Regular";"Regular";"Malo";"3";"Cónyuge, pareja o conviviente;Hijo(s) y/o hija(s)";0;0;0;1;0;0;1;0;"Muy de acuerdo";"En desacuerdo";"En desacuerdo";"Muy de acuerdo";"De acuerdo";"En desacuerdo";"1";"Disminuyó";"Aumentó";"Se mantuvo igual";"Aumentó";"Aumentó";"Aumentó";"Disminuyó";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Siempre";"Sí";"Sí";"No he podido continuar el tratamiento";"Convivente Civil";"Se ha mantenido igual";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"Sí";"No";NA;0;"Sí";"No";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Mujer";22;"Otro";"Chile";"Los Lagos";"Universitaria incompleta";"Menos de $150.000";"Han disminuido levemente";"Caja familiar (mercadería)";1;0;0;0;0;0;0
"154";"No trabajé remuneradamente durante la semana pasada";NA;NA;NA;"No me encontraba trabajando remuneradamente";NA;NA;NA;NA;NA;NA;"Educación universitaria";"Muy de acuerdo";"En desacuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"Muy de acuerdo";"1-2 horas";"1-2 horas";"1-2 horas";"0 horas";"0 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"1-2 horas";"0 horas";"Excelente";"Excelente";"Excelente";"Excelente";"Excelente";"Excelente";"4";"Hermano(s) y/o hermana(s);Padre y/o madre";0;0;0;0;1;1;0;0;"De acuerdo";"Muy en desacuerdo";"De acuerdo";"Muy de acuerdo";"En desacuerdo";"Muy de acuerdo";"0";"Disminuyó";"Se mantuvo igual";"Aumentó";"Aumentó";"Aumentó";"Se mantuvo igual";"Se mantuvo igual";"Casi nunca";"Casi nunca";"A veces";"A veces";"Nunca";"Casi nunca";"Casi nunca";"Casi nunca";"A veces";"No";"No";"No estaba en ningún tratamiento antes de la pandemia";"Pololeo o noviazgo";"Ha mejorado mucho";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Nunca";"Siempre";"Nunca";"Sí";"No";NA;0;"No";NA;"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"Absolutamente de acuerdo";"Absolutamente en desacuerdo";"Absolutamente en desacuerdo";"De acuerdo";"Absolutamente de acuerdo";"Absolutamente de acuerdo";"Hombre";18;"Iquique";"Chile";"Tarapaca";"Universitaria incompleta";"No tuve ingresos";"Se han mantenido igual";NA;0;0;0;0;0;1;2
